,time,nodes,edges
777,58.819,800,266.0
778,124.266,800,266.0
779,79.766,800,266.0
780,22.446,800,266.0
781,148.407,800,266.0
782,78.328,800,266.0
783,131.741,800,266.0
784,52.769,800,266.0
785,88.769,800,266.0
786,66.244,800,266.0
787,131.783,800,266.0
788,117.304,800,266.0
789,19.652,800,266.0
790,148.735,800,266.0
791,132.648,800,266.0
792,128.091,800,266.0
793,87.088,800,266.0
794,107.371,800,266.0
795,45.68,800,266.0
796,146.182,800,266.0
797,59.45,800,266.0
798,56.23,800,266.0
799,68.728,800,266.0
800,111.536,900,300.0
801,49.276,900,300.0
802,40.049,900,300.0
803,100.388,900,300.0
804,99.711,900,300.0
805,109.601,900,300.0
806,140.949,900,300.0
807,132.004,900,300.0
808,39.692,900,300.0
809,44.549,900,300.0
810,132.512,900,300.0
811,36.456,900,300.0
812,86.914,900,300.0
813,54.063,900,300.0
814,48.413,900,300.0
815,128.143,900,300.0
816,124.513,900,300.0
817,53.021,900,300.0
818,96.965,900,300.0
819,138.008,900,300.0
820,150.294,900,300.0
821,99.564,900,300.0
822,101.827,900,300.0
823,145.91,900,300.0
824,98.666,900,300.0
825,100.019,900,300.0
826,84.758,900,300.0
827,33.504,900,300.0
828,99.509,900,300.0
829,37.924,900,300.0
830,149.481,900,300.0
831,145.39,900,300.0
832,76.424,900,300.0
833,76.176,900,300.0
834,54.562,900,300.0
835,137.91,900,300.0
836,76.571,900,300.0
837,78.664,900,300.0
838,883.588,900,300.0
839,48.897,900,300.0
840,117.233,900,300.0
841,110.745,900,300.0
842,118.616,900,300.0
843,30.859,900,300.0
844,99.623,900,300.0
845,47.784,900,300.0
846,153.156,900,300.0
847,59.596,900,300.0
848,33.232,900,300.0
849,39.402,900,300.0
850,135.726,900,300.0
851,32.678,900,300.0
852,103.797,900,300.0
853,86.318,900,300.0
854,76.237,900,300.0
855,104.697,900,300.0
856,123.663,900,300.0
857,130.328,900,300.0
858,82.334,900,300.0
859,35.059,900,300.0
860,127.355,900,300.0
861,99.622,900,300.0
862,112.426,900,300.0
863,114.623,900,300.0
864,36.35,900,300.0
865,34.771,900,300.0
866,123.784,900,300.0
867,34.378,900,300.0
868,129.54,900,300.0
869,33.301,900,300.0
870,94.257,900,300.0
871,105.717,900,300.0
872,114.337,900,300.0
873,112.051,900,300.0
874,103.289,900,300.0
875,144.725,900,300.0
876,99.011,900,300.0
877,47.73,900,300.0
878,79.864,900,300.0
879,79.685,900,300.0
880,92.306,900,300.0
881,93.615,900,300.0
882,120.567,900,300.0
883,147.34,900,300.0
884,63.596,900,300.0
885,98.707,900,300.0
886,58.39,900,300.0
887,87.667,900,300.0
888,148.719,900,300.0
889,141.982,900,300.0
890,45.513,900,300.0
891,157.061,900,300.0
892,143.974,900,300.0
893,147.569,900,300.0
894,109.712,900,300.0
895,97.718,900,300.0
896,64.461,900,300.0
897,65.561,900,300.0
898,125.678,900,300.0
899,67.834,900,300.0
900,57.738,1000,333.0
901,38.503,1000,333.0
902,113.229,1000,333.0
903,112.721,1000,333.0
904,119.239,1000,333.0
905,114.661,1000,333.0
906,122.225,1000,333.0
907,118.064,1000,333.0
908,29.097,1000,333.0
909,42.091,1000,333.0
910,30.907,1000,333.0
911,30.023,1000,333.0
912,170.052,1000,333.0
913,18.258,1000,333.0
914,118.144,1000,333.0
915,32.419,1000,333.0
916,24.712,1000,333.0
917,99.743,1000,333.0
918,4686.296,1000,333.0
919,104.732,1000,333.0
920,54.551,1000,333.0
921,101.835,1000,333.0
922,155.74,1000,333.0
923,68.024,1000,333.0
924,173.391,1000,333.0
925,84.821,1000,333.0
926,78.309,1000,333.0
927,82.445,1000,333.0
928,143.479,1000,333.0
929,132.404,1000,333.0
930,73.85,1000,333.0
931,58.506,1000,333.0
932,122.332,1000,333.0
933,103.655,1000,333.0
934,118.948,1000,333.0
935,145.649,1000,333.0
936,99.156,1000,333.0
937,118.387,1000,333.0
938,102.77,1000,333.0
939,169.941,1000,333.0
940,37.912,1000,333.0
941,59.798,1000,333.0
942,47.008,1000,333.0
943,119.262,1000,333.0
944,103.803,1000,333.0
945,33.688,1000,333.0
946,35.285,1000,333.0
947,136.952,1000,333.0
948,132.531,1000,333.0
949,95.852,1000,333.0
950,122.646,1000,333.0
951,125.612,1000,333.0
952,25.935,1000,333.0
953,125.169,1000,333.0
954,124.693,1000,333.0
955,75.889,1000,333.0
956,157.282,1000,333.0
957,34.775,1000,333.0
958,166.81,1000,333.0
959,170.811,1000,333.0
960,94.896,1000,333.0
961,158.794,1000,333.0
962,157.761,1000,333.0
963,77.63,1000,333.0
964,26.549,1000,333.0
965,137.033,1000,333.0
966,134.467,1000,333.0
967,123.26,1000,333.0
968,57.422,1000,333.0
969,127.121,1000,333.0
